,0
0,"n_periods:1,MSE:0.99968, RMSE:0.99984, MAE:0.99984"
1,"n_periods:2,MSE:0.61626, RMSE:0.78502, MAE:0.74118"
2,"n_periods:3,MSE:0.42475, RMSE:0.65173, MAE:0.56223"
3,"n_periods:4,MSE:0.33725, RMSE:0.58073, MAE:0.49001"
4,"n_periods:5,MSE:0.30716, RMSE:0.55422, MAE:0.47845"
5,"n_periods:6,MSE:0.30232, RMSE:0.54984, MAE:0.48661"
6,"n_periods:7,MSE:0.30813, RMSE:0.55509, MAE:0.50075"
7,"n_periods:8,MSE:0.32185, RMSE:0.56732, MAE:0.51897"
8,"n_periods:9,MSE:0.28609, RMSE:0.53488, MAE:0.46150"
9,"n_periods:10,MSE:0.31022, RMSE:0.55698, MAE:0.48797"
10,"n_periods:11,MSE:0.28775, RMSE:0.53642, MAE:0.46643"
11,"n_periods:12,MSE:0.31271, RMSE:0.55920, MAE:0.49142"
12,"n_periods:13,MSE:0.32500, RMSE:0.57009, MAE:0.50650"
13,"n_periods:14,MSE:0.35627, RMSE:0.59688, MAE:0.53270"
14,"n_periods:15,MSE:0.36860, RMSE:0.60712, MAE:0.54624"
15,"n_periods:16,MSE:0.36517, RMSE:0.60429, MAE:0.54710"
16,"n_periods:17,MSE:0.36668, RMSE:0.60555, MAE:0.55170"
17,"n_periods:18,MSE:0.36746, RMSE:0.60618, MAE:0.55532"
18,"n_periods:19,MSE:0.36706, RMSE:0.60585, MAE:0.55767"
19,"n_periods:20,MSE:0.34956, RMSE:0.59123, MAE:0.53631"
20,"n_periods:21,MSE:0.33819, RMSE:0.58154, MAE:0.52662"
21,"n_periods:22,MSE:0.32828, RMSE:0.57296, MAE:0.51844"
22,"n_periods:23,MSE:0.53443, RMSE:0.73105, MAE:0.59380"
23,"n_periods:24,MSE:0.51242, RMSE:0.71584, MAE:0.57235"
24,"n_periods:25,MSE:0.49238, RMSE:0.70170, MAE:0.55375"
25,"n_periods:26,MSE:0.48103, RMSE:0.69356, MAE:0.54953"
26,"n_periods:27,MSE:0.47020, RMSE:0.68571, MAE:0.54526"
27,"n_periods:28,MSE:0.45751, RMSE:0.67639, MAE:0.53789"
28,"n_periods:29,MSE:0.44248, RMSE:0.66519, MAE:0.52444"
29,"n_periods:30,MSE:0.43837, RMSE:0.66209, MAE:0.52578"
30,"n_periods:31,MSE:0.42903, RMSE:0.65501, MAE:0.52127"
31,"n_periods:32,MSE:0.43391, RMSE:0.65872, MAE:0.52889"
32,"n_periods:33,MSE:0.42641, RMSE:0.65300, MAE:0.52594"
33,"n_periods:34,MSE:0.41863, RMSE:0.64702, MAE:0.52231"
34,"n_periods:35,MSE:0.40904, RMSE:0.63956, MAE:0.51562"
35,"n_periods:36,MSE:0.41447, RMSE:0.64379, MAE:0.52289"
36,"n_periods:37,MSE:0.40489, RMSE:0.63631, MAE:0.51539"
37,"n_periods:38,MSE:0.40359, RMSE:0.63529, MAE:0.51752"
38,"n_periods:39,MSE:0.40388, RMSE:0.63551, MAE:0.52076"
39,"n_periods:40,MSE:0.39926, RMSE:0.63187, MAE:0.51944"
40,"n_periods:41,MSE:0.39704, RMSE:0.63011, MAE:0.52032"
41,"n_periods:42,MSE:0.38788, RMSE:0.62280, MAE:0.51056"
42,"n_periods:43,MSE:0.38623, RMSE:0.62148, MAE:0.51178"
43,"n_periods:44,MSE:0.38304, RMSE:0.61890, MAE:0.51141"
44,"n_periods:45,MSE:0.40266, RMSE:0.63456, MAE:0.52505"
45,"n_periods:46,MSE:0.39989, RMSE:0.63237, MAE:0.52504"
46,"n_periods:47,MSE:0.39424, RMSE:0.62788, MAE:0.52167"
47,"n_periods:48,MSE:0.38605, RMSE:0.62133, MAE:0.51145"
48,"n_periods:49,MSE:0.39588, RMSE:0.62919, MAE:0.52003"
49,"n_periods:50,MSE:0.39023, RMSE:0.62469, MAE:0.51636"
50,"n_periods:51,MSE:0.39230, RMSE:0.62634, MAE:0.52004"
51,"n_periods:52,MSE:0.38608, RMSE:0.62135, MAE:0.51508"
52,"n_periods:53,MSE:0.38324, RMSE:0.61907, MAE:0.51453"
53,"n_periods:54,MSE:0.37666, RMSE:0.61373, MAE:0.50809"
54,"n_periods:55,MSE:0.43581, RMSE:0.66016, MAE:0.53349"
55,"n_periods:56,MSE:0.42903, RMSE:0.65501, MAE:0.52821"
56,"n_periods:57,MSE:0.46664, RMSE:0.68311, MAE:0.54708"
57,"n_periods:58,MSE:0.46116, RMSE:0.67909, MAE:0.54430"
58,"n_periods:59,MSE:0.45412, RMSE:0.67388, MAE:0.53868"
59,"n_periods:60,MSE:0.45377, RMSE:0.67362, MAE:0.54067"
60,"n_periods:61,MSE:0.44660, RMSE:0.66828, MAE:0.53393"
61,"n_periods:62,MSE:0.44349, RMSE:0.66595, MAE:0.53344"
62,"n_periods:63,MSE:0.43810, RMSE:0.66189, MAE:0.53009"
63,"n_periods:64,MSE:0.43773, RMSE:0.66162, MAE:0.53187"
64,"n_periods:65,MSE:0.43326, RMSE:0.65823, MAE:0.52959"
65,"n_periods:66,MSE:0.43791, RMSE:0.66175, MAE:0.53460"
66,"n_periods:67,MSE:0.43303, RMSE:0.65805, MAE:0.53159"
67,"n_periods:68,MSE:0.42940, RMSE:0.65528, MAE:0.53011"
68,"n_periods:69,MSE:0.42782, RMSE:0.65408, MAE:0.53064"
69,"n_periods:70,MSE:0.42696, RMSE:0.65342, MAE:0.53172"
70,"n_periods:71,MSE:0.42440, RMSE:0.65146, MAE:0.53120"
71,"n_periods:72,MSE:0.42386, RMSE:0.65104, MAE:0.53245"
72,"n_periods:73,MSE:0.41919, RMSE:0.64745, MAE:0.52909"
73,"n_periods:74,MSE:0.41391, RMSE:0.64336, MAE:0.52423"
74,"n_periods:75,MSE:0.41014, RMSE:0.64042, MAE:0.52207"
75,"n_periods:76,MSE:0.40787, RMSE:0.63865, MAE:0.52162"
76,"n_periods:77,MSE:0.40866, RMSE:0.63926, MAE:0.52374"
77,"n_periods:78,MSE:0.40699, RMSE:0.63796, MAE:0.52379"
78,"n_periods:79,MSE:0.40255, RMSE:0.63447, MAE:0.52016"
79,"n_periods:80,MSE:0.39967, RMSE:0.63220, MAE:0.51885"
80,"n_periods:81,MSE:0.40231, RMSE:0.63428, MAE:0.52211"
81,"n_periods:82,MSE:0.40427, RMSE:0.63582, MAE:0.52489"
82,"n_periods:83,MSE:0.41175, RMSE:0.64168, MAE:0.53077"
83,"n_periods:84,MSE:0.41032, RMSE:0.64056, MAE:0.53088"
