==> Use accelerator:  cpu
==>当前使用的模型为：CNN
==>加载数据中...
==>开始训练...
Epochs:0, Train Loss:0.83149,Test Loss:1.11408, Train_MSE:0.83149, Train_RMSE:0.91186, Train_MAE:0.64062,Test_MSE:1.11408, Test_RMSE:1.05550, Test_MAE:0.75254, Time:0:00:00 *
Epochs:50, Train Loss:0.50765,Test Loss:1.36021, Train_MSE:0.50765, Train_RMSE:0.71250, Train_MAE:0.40651,Test_MSE:1.36021, Test_RMSE:1.16628, Test_MAE:0.88460, Time:0:00:06 *
Epochs:100, Train Loss:0.74964,Test Loss:1.49556, Train_MSE:0.74964, Train_RMSE:0.86581, Train_MAE:0.53333,Test_MSE:1.49556, Test_RMSE:1.22293, Test_MAE:0.90335, Time:0:00:11
Epochs:150, Train Loss:0.78555,Test Loss:1.58589, Train_MSE:0.78555, Train_RMSE:0.88631, Train_MAE:0.53090,Test_MSE:1.58589, Test_RMSE:1.25932, Test_MAE:0.96580, Time:0:00:17
Epochs:200, Train Loss:0.53085,Test Loss:1.36645, Train_MSE:0.53085, Train_RMSE:0.72859, Train_MAE:0.49475,Test_MSE:1.36645, Test_RMSE:1.16895, Test_MAE:0.85084, Time:0:00:23
Epochs:250, Train Loss:0.12004,Test Loss:1.58326, Train_MSE:0.12004, Train_RMSE:0.34647, Train_MAE:0.30216,Test_MSE:1.58326, Test_RMSE:1.25827, Test_MAE:0.96359, Time:0:00:29 *
Epochs:300, Train Loss:0.06376,Test Loss:1.51994, Train_MSE:0.06376, Train_RMSE:0.25250, Train_MAE:0.16900,Test_MSE:1.51994, Test_RMSE:1.23286, Test_MAE:0.91920, Time:0:00:35 *
Epochs:350, Train Loss:0.01453,Test Loss:1.48787, Train_MSE:0.01453, Train_RMSE:0.12054, Train_MAE:0.10033,Test_MSE:1.48787, Test_RMSE:1.21978, Test_MAE:0.90281, Time:0:00:41 *
Epochs:400, Train Loss:0.03427,Test Loss:1.62021, Train_MSE:0.03427, Train_RMSE:0.18513, Train_MAE:0.12638,Test_MSE:1.62021, Test_RMSE:1.27287, Test_MAE:0.96183, Time:0:00:47
Epochs:450, Train Loss:0.00894,Test Loss:1.37399, Train_MSE:0.00894, Train_RMSE:0.09454, Train_MAE:0.07940,Test_MSE:1.37399, Test_RMSE:1.17217, Test_MAE:0.86088, Time:0:00:53 *
Epochs:500, Train Loss:0.73937,Test Loss:1.41790, Train_MSE:0.73937, Train_RMSE:0.85987, Train_MAE:0.47443,Test_MSE:1.41790, Test_RMSE:1.19076, Test_MAE:0.87374, Time:0:00:59
Epochs:550, Train Loss:0.02922,Test Loss:1.44404, Train_MSE:0.02922, Train_RMSE:0.17095, Train_MAE:0.12398,Test_MSE:1.44404, Test_RMSE:1.20168, Test_MAE:0.86967, Time:0:01:05
Epochs:600, Train Loss:0.03346,Test Loss:1.38660, Train_MSE:0.03346, Train_RMSE:0.18291, Train_MAE:0.13387,Test_MSE:1.38660, Test_RMSE:1.17754, Test_MAE:0.84135, Time:0:01:12
Epochs:650, Train Loss:0.04597,Test Loss:1.39280, Train_MSE:0.04597, Train_RMSE:0.21440, Train_MAE:0.16231,Test_MSE:1.39280, Test_RMSE:1.18017, Test_MAE:0.84928, Time:0:01:18
Epochs:700, Train Loss:0.06225,Test Loss:1.26320, Train_MSE:0.06225, Train_RMSE:0.24950, Train_MAE:0.15752,Test_MSE:1.26320, Test_RMSE:1.12392, Test_MAE:0.81236, Time:0:01:25
Epochs:750, Train Loss:0.02076,Test Loss:1.32746, Train_MSE:0.02076, Train_RMSE:0.14407, Train_MAE:0.11933,Test_MSE:1.32746, Test_RMSE:1.15215, Test_MAE:0.83247, Time:0:01:32
Epochs:800, Train Loss:0.73803,Test Loss:1.30833, Train_MSE:0.73803, Train_RMSE:0.85909, Train_MAE:0.46268,Test_MSE:1.30833, Test_RMSE:1.14382, Test_MAE:0.81177, Time:0:01:39
Epochs:850, Train Loss:0.03805,Test Loss:1.40139, Train_MSE:0.03805, Train_RMSE:0.19507, Train_MAE:0.17163,Test_MSE:1.40139, Test_RMSE:1.18380, Test_MAE:0.83852, Time:0:01:46
Epochs:900, Train Loss:0.08631,Test Loss:1.16027, Train_MSE:0.08631, Train_RMSE:0.29379, Train_MAE:0.21764,Test_MSE:1.16027, Test_RMSE:1.07716, Test_MAE:0.79372, Time:0:01:53
Epochs:950, Train Loss:0.05023,Test Loss:1.20000, Train_MSE:0.05023, Train_RMSE:0.22413, Train_MAE:0.16601,Test_MSE:1.20000, Test_RMSE:1.09545, Test_MAE:0.79141, Time:0:02:01
Epochs:1000, Train Loss:0.11411,Test Loss:1.35810, Train_MSE:0.11411, Train_RMSE:0.33780, Train_MAE:0.20560,Test_MSE:1.35810, Test_RMSE:1.16538, Test_MAE:0.83277, Time:0:02:08
Epochs:1050, Train Loss:0.12550,Test Loss:1.31506, Train_MSE:0.12550, Train_RMSE:0.35427, Train_MAE:0.26481,Test_MSE:1.31506, Test_RMSE:1.14676, Test_MAE:0.81126, Time:0:02:15
Epochs:1100, Train Loss:0.04890,Test Loss:1.36565, Train_MSE:0.04890, Train_RMSE:0.22114, Train_MAE:0.16669,Test_MSE:1.36565, Test_RMSE:1.16861, Test_MAE:0.80650, Time:0:02:22
Epochs:1150, Train Loss:0.00356,Test Loss:1.31916, Train_MSE:0.00356, Train_RMSE:0.05970, Train_MAE:0.04680,Test_MSE:1.31916, Test_RMSE:1.14855, Test_MAE:0.80832, Time:0:02:29 *
Epochs:1200, Train Loss:0.00203,Test Loss:1.31735, Train_MSE:0.00203, Train_RMSE:0.04509, Train_MAE:0.03807,Test_MSE:1.31735, Test_RMSE:1.14776, Test_MAE:0.81247, Time:0:02:36 *
Epochs:1250, Train Loss:0.14042,Test Loss:1.29476, Train_MSE:0.14042, Train_RMSE:0.37472, Train_MAE:0.20937,Test_MSE:1.29476, Test_RMSE:1.13787, Test_MAE:0.78851, Time:0:02:44
Epochs:1300, Train Loss:0.63507,Test Loss:1.30136, Train_MSE:0.63507, Train_RMSE:0.79691, Train_MAE:0.32219,Test_MSE:1.30136, Test_RMSE:1.14077, Test_MAE:0.82378, Time:0:02:52
Epochs:1350, Train Loss:0.00632,Test Loss:1.23451, Train_MSE:0.00632, Train_RMSE:0.07950, Train_MAE:0.06151,Test_MSE:1.23451, Test_RMSE:1.11109, Test_MAE:0.81130, Time:0:02:59
Epochs:1400, Train Loss:0.02828,Test Loss:1.20843, Train_MSE:0.02828, Train_RMSE:0.16817, Train_MAE:0.10707,Test_MSE:1.20843, Test_RMSE:1.09929, Test_MAE:0.78696, Time:0:03:07
Epochs:1450, Train Loss:0.10259,Test Loss:1.30105, Train_MSE:0.10259, Train_RMSE:0.32030, Train_MAE:0.16482,Test_MSE:1.30105, Test_RMSE:1.14064, Test_MAE:0.83161, Time:0:03:14
Epochs:1500, Train Loss:0.00035,Test Loss:1.20412, Train_MSE:0.00035, Train_RMSE:0.01884, Train_MAE:0.01477,Test_MSE:1.20411, Test_RMSE:1.09732, Test_MAE:0.81031, Time:0:03:21 *
Epochs:1550, Train Loss:0.01935,Test Loss:1.24936, Train_MSE:0.01935, Train_RMSE:0.13910, Train_MAE:0.10464,Test_MSE:1.24936, Test_RMSE:1.11775, Test_MAE:0.83252, Time:0:03:29
Epochs:1600, Train Loss:0.02601,Test Loss:1.26544, Train_MSE:0.02601, Train_RMSE:0.16129, Train_MAE:0.08982,Test_MSE:1.26544, Test_RMSE:1.12492, Test_MAE:0.79513, Time:0:03:37
Epochs:1650, Train Loss:0.09204,Test Loss:1.34861, Train_MSE:0.09204, Train_RMSE:0.30338, Train_MAE:0.14779,Test_MSE:1.34861, Test_RMSE:1.16130, Test_MAE:0.84320, Time:0:03:44
Epochs:1700, Train Loss:0.01257,Test Loss:1.34509, Train_MSE:0.01257, Train_RMSE:0.11213, Train_MAE:0.06260,Test_MSE:1.34509, Test_RMSE:1.15978, Test_MAE:0.83897, Time:0:03:52
Epochs:1750, Train Loss:0.72199,Test Loss:1.26690, Train_MSE:0.72199, Train_RMSE:0.84970, Train_MAE:0.40512,Test_MSE:1.26690, Test_RMSE:1.12556, Test_MAE:0.81318, Time:0:04:00
Epochs:1800, Train Loss:0.09555,Test Loss:1.32751, Train_MSE:0.09555, Train_RMSE:0.30911, Train_MAE:0.15974,Test_MSE:1.32751, Test_RMSE:1.15217, Test_MAE:0.83766, Time:0:04:07
Epochs:1850, Train Loss:0.04093,Test Loss:1.29323, Train_MSE:0.04093, Train_RMSE:0.20232, Train_MAE:0.13196,Test_MSE:1.29323, Test_RMSE:1.13720, Test_MAE:0.82114, Time:0:04:15
Epochs:1900, Train Loss:0.04762,Test Loss:1.32755, Train_MSE:0.04762, Train_RMSE:0.21821, Train_MAE:0.16369,Test_MSE:1.32755, Test_RMSE:1.15219, Test_MAE:0.83778, Time:0:04:23
