==> Use accelerator:  cpu
==>当前使用的模型为：CNN_GRU
==>加载数据中...
==>开始训练...
Epochs:0, Train Loss:0.84052,Test Loss:1.10094, Train_MSE:0.84052, Train_RMSE:0.91680, Train_MAE:0.64976,Test_MSE:1.10094, Test_RMSE:1.04926, Test_MAE:0.74617, Time:0:00:00 *
Epochs:50, Train Loss:0.49772,Test Loss:1.11977, Train_MSE:0.49772, Train_RMSE:0.70549, Train_MAE:0.62610,Test_MSE:1.11977, Test_RMSE:1.05819, Test_MAE:0.75376, Time:0:00:08 *
Epochs:100, Train Loss:0.46343,Test Loss:1.17200, Train_MSE:0.46343, Train_RMSE:0.68076, Train_MAE:0.59387,Test_MSE:1.17200, Test_RMSE:1.08259, Test_MAE:0.78241, Time:0:00:15 *
Epochs:150, Train Loss:0.33934,Test Loss:1.41295, Train_MSE:0.33934, Train_RMSE:0.58253, Train_MAE:0.40620,Test_MSE:1.41295, Test_RMSE:1.18867, Test_MAE:0.88443, Time:0:00:23 *
Epochs:200, Train Loss:0.39150,Test Loss:1.50133, Train_MSE:0.39150, Train_RMSE:0.62570, Train_MAE:0.41511,Test_MSE:1.50133, Test_RMSE:1.22529, Test_MAE:0.91076, Time:0:00:30
Epochs:250, Train Loss:0.07104,Test Loss:1.57760, Train_MSE:0.07104, Train_RMSE:0.26653, Train_MAE:0.23397,Test_MSE:1.57760, Test_RMSE:1.25603, Test_MAE:0.97452, Time:0:00:40 *
Epochs:300, Train Loss:0.15568,Test Loss:1.62489, Train_MSE:0.15568, Train_RMSE:0.39456, Train_MAE:0.28686,Test_MSE:1.62489, Test_RMSE:1.27471, Test_MAE:0.97936, Time:0:00:49
Epochs:350, Train Loss:0.65924,Test Loss:1.58599, Train_MSE:0.65924, Train_RMSE:0.81193, Train_MAE:0.40821,Test_MSE:1.58599, Test_RMSE:1.25936, Test_MAE:0.98859, Time:0:00:57
Epochs:400, Train Loss:0.05671,Test Loss:1.50780, Train_MSE:0.05671, Train_RMSE:0.23813, Train_MAE:0.19003,Test_MSE:1.50780, Test_RMSE:1.22792, Test_MAE:0.91985, Time:0:01:05 *
Epochs:450, Train Loss:0.06131,Test Loss:1.63654, Train_MSE:0.06131, Train_RMSE:0.24761, Train_MAE:0.18045,Test_MSE:1.63654, Test_RMSE:1.27927, Test_MAE:0.99128, Time:0:01:13
Epochs:500, Train Loss:0.02529,Test Loss:1.45268, Train_MSE:0.02529, Train_RMSE:0.15904, Train_MAE:0.13263,Test_MSE:1.45268, Test_RMSE:1.20527, Test_MAE:0.90144, Time:0:01:21 *
