==> Use accelerator:  cpu
==>当前使用的模型为：CNN_LSTM
==>加载数据中...
==>开始训练...
Epochs:0, Train Loss:0.84053,Test Loss:1.10073, Train_MSE:0.84053, Train_RMSE:0.91681, Train_MAE:0.64983,Test_MSE:1.10073, Test_RMSE:1.04916, Test_MAE:0.74606, Time:0:00:01 *
Epochs:50, Train Loss:0.56020,Test Loss:1.37481, Train_MSE:0.56020, Train_RMSE:0.74846, Train_MAE:0.34944,Test_MSE:1.37481, Test_RMSE:1.17252, Test_MAE:0.88585, Time:0:00:29 *
Epochs:100, Train Loss:0.34564,Test Loss:1.87412, Train_MSE:0.34564, Train_RMSE:0.58791, Train_MAE:0.37243,Test_MSE:1.87412, Test_RMSE:1.36898, Test_MAE:1.06652, Time:0:00:57 *
Epochs:150, Train Loss:0.41553,Test Loss:1.67539, Train_MSE:0.41553, Train_RMSE:0.64462, Train_MAE:0.43252,Test_MSE:1.67539, Test_RMSE:1.29437, Test_MAE:0.97700, Time:0:01:26
Epochs:200, Train Loss:0.38462,Test Loss:1.69985, Train_MSE:0.38462, Train_RMSE:0.62018, Train_MAE:0.45011,Test_MSE:1.69985, Test_RMSE:1.30378, Test_MAE:1.01363, Time:0:01:55
Epochs:250, Train Loss:0.17945,Test Loss:1.71855, Train_MSE:0.17945, Train_RMSE:0.42362, Train_MAE:0.28397,Test_MSE:1.71855, Test_RMSE:1.31093, Test_MAE:1.01556, Time:0:02:26 *
Epochs:300, Train Loss:0.65599,Test Loss:1.63053, Train_MSE:0.65599, Train_RMSE:0.80993, Train_MAE:0.38125,Test_MSE:1.63053, Test_RMSE:1.27692, Test_MAE:0.96998, Time:0:02:54
Epochs:350, Train Loss:0.51463,Test Loss:1.54653, Train_MSE:0.51463, Train_RMSE:0.71738, Train_MAE:0.48702,Test_MSE:1.54653, Test_RMSE:1.24360, Test_MAE:0.96859, Time:0:03:23
Epochs:400, Train Loss:0.57076,Test Loss:1.71000, Train_MSE:0.57076, Train_RMSE:0.75549, Train_MAE:0.40451,Test_MSE:1.71000, Test_RMSE:1.30767, Test_MAE:1.02864, Time:0:03:51
Epochs:450, Train Loss:0.09933,Test Loss:1.63992, Train_MSE:0.09933, Train_RMSE:0.31516, Train_MAE:0.18429,Test_MSE:1.63992, Test_RMSE:1.28059, Test_MAE:0.98173, Time:0:04:20 *
Epochs:500, Train Loss:0.06835,Test Loss:1.65011, Train_MSE:0.06835, Train_RMSE:0.26144, Train_MAE:0.17934,Test_MSE:1.65011, Test_RMSE:1.28456, Test_MAE:0.97390, Time:0:04:50 *
Epochs:550, Train Loss:0.17455,Test Loss:1.34951, Train_MSE:0.17455, Train_RMSE:0.41779, Train_MAE:0.29913,Test_MSE:1.34951, Test_RMSE:1.16168, Test_MAE:0.85732, Time:0:05:20
Epochs:600, Train Loss:0.02911,Test Loss:1.71589, Train_MSE:0.02911, Train_RMSE:0.17061, Train_MAE:0.10487,Test_MSE:1.71589, Test_RMSE:1.30992, Test_MAE:0.97963, Time:0:05:50 *
Epochs:650, Train Loss:0.10690,Test Loss:1.51165, Train_MSE:0.10690, Train_RMSE:0.32696, Train_MAE:0.24749,Test_MSE:1.51165, Test_RMSE:1.22949, Test_MAE:0.93614, Time:0:06:18
Epochs:700, Train Loss:0.07347,Test Loss:1.85591, Train_MSE:0.07347, Train_RMSE:0.27106, Train_MAE:0.18194,Test_MSE:1.85591, Test_RMSE:1.36232, Test_MAE:1.04422, Time:0:06:47
Epochs:750, Train Loss:0.00956,Test Loss:1.69590, Train_MSE:0.00956, Train_RMSE:0.09778, Train_MAE:0.09027,Test_MSE:1.69590, Test_RMSE:1.30227, Test_MAE:0.98504, Time:0:07:20 *
Epochs:800, Train Loss:0.02574,Test Loss:1.74627, Train_MSE:0.02574, Train_RMSE:0.16044, Train_MAE:0.10717,Test_MSE:1.74627, Test_RMSE:1.32146, Test_MAE:1.02003, Time:0:07:52
Epochs:850, Train Loss:0.03446,Test Loss:2.01436, Train_MSE:0.03446, Train_RMSE:0.18564, Train_MAE:0.15376,Test_MSE:2.01436, Test_RMSE:1.41928, Test_MAE:1.07889, Time:0:08:20
Epochs:900, Train Loss:0.04676,Test Loss:1.92819, Train_MSE:0.04676, Train_RMSE:0.21624, Train_MAE:0.17131,Test_MSE:1.92819, Test_RMSE:1.38859, Test_MAE:1.07747, Time:0:08:49
Epochs:950, Train Loss:0.00089,Test Loss:1.88055, Train_MSE:0.00089, Train_RMSE:0.02990, Train_MAE:0.02606,Test_MSE:1.88055, Test_RMSE:1.37133, Test_MAE:1.04203, Time:0:09:18 *
Epochs:1000, Train Loss:0.01894,Test Loss:1.98330, Train_MSE:0.01894, Train_RMSE:0.13761, Train_MAE:0.10055,Test_MSE:1.98330, Test_RMSE:1.40830, Test_MAE:1.06167, Time:0:09:49
Epochs:1050, Train Loss:0.05252,Test Loss:1.89695, Train_MSE:0.05252, Train_RMSE:0.22916, Train_MAE:0.11022,Test_MSE:1.89695, Test_RMSE:1.37730, Test_MAE:1.04775, Time:0:10:24
