==> Use accelerator:  cpu
==>当前使用的模型为：CNN_LSTM
==>加载数据中...
==>开始训练...
Epochs:0, Train Loss:0.94194,Test Loss:1.03181, Train_MSE:0.94194, Train_RMSE:0.97054, Train_MAE:0.71910,Test_MSE:1.03181, Test_RMSE:1.01578, Test_MAE:0.72151, Time:0:00:01 *
Epochs:50, Train Loss:0.74012,Test Loss:1.08401, Train_MSE:0.74012, Train_RMSE:0.86030, Train_MAE:0.67274,Test_MSE:1.08401, Test_RMSE:1.04116, Test_MAE:0.74435, Time:0:00:30 *
Epochs:100, Train Loss:0.33056,Test Loss:1.25243, Train_MSE:0.33056, Train_RMSE:0.57494, Train_MAE:0.45802,Test_MSE:1.25243, Test_RMSE:1.11912, Test_MAE:0.83177, Time:0:01:01 *
Epochs:150, Train Loss:0.38329,Test Loss:1.30303, Train_MSE:0.38329, Train_RMSE:0.61911, Train_MAE:0.44702,Test_MSE:1.30303, Test_RMSE:1.14150, Test_MAE:0.83579, Time:0:01:35
Epochs:200, Train Loss:0.26431,Test Loss:1.41532, Train_MSE:0.26431, Train_RMSE:0.51411, Train_MAE:0.33959,Test_MSE:1.41532, Test_RMSE:1.18967, Test_MAE:0.89293, Time:0:02:07 *
Epochs:250, Train Loss:0.40762,Test Loss:1.47719, Train_MSE:0.40762, Train_RMSE:0.63845, Train_MAE:0.41115,Test_MSE:1.47719, Test_RMSE:1.21540, Test_MAE:0.91986, Time:0:02:38
Epochs:300, Train Loss:0.14766,Test Loss:1.36196, Train_MSE:0.14766, Train_RMSE:0.38426, Train_MAE:0.28932,Test_MSE:1.36196, Test_RMSE:1.16703, Test_MAE:0.86566, Time:0:03:13 *
Epochs:350, Train Loss:0.16397,Test Loss:1.31469, Train_MSE:0.16397, Train_RMSE:0.40494, Train_MAE:0.27554,Test_MSE:1.31469, Test_RMSE:1.14660, Test_MAE:0.84117, Time:0:03:44
Epochs:400, Train Loss:0.07235,Test Loss:1.38508, Train_MSE:0.07235, Train_RMSE:0.26898, Train_MAE:0.18219,Test_MSE:1.38508, Test_RMSE:1.17689, Test_MAE:0.85983, Time:0:04:14 *
Epochs:450, Train Loss:0.15220,Test Loss:1.43404, Train_MSE:0.15220, Train_RMSE:0.39013, Train_MAE:0.25326,Test_MSE:1.43404, Test_RMSE:1.19752, Test_MAE:0.88769, Time:0:04:45
Epochs:500, Train Loss:0.04722,Test Loss:1.33501, Train_MSE:0.04722, Train_RMSE:0.21729, Train_MAE:0.14634,Test_MSE:1.33501, Test_RMSE:1.15542, Test_MAE:0.83780, Time:0:05:20 *
Epochs:550, Train Loss:0.00987,Test Loss:1.40123, Train_MSE:0.00987, Train_RMSE:0.09935, Train_MAE:0.06129,Test_MSE:1.40123, Test_RMSE:1.18374, Test_MAE:0.87160, Time:0:05:55 *
Epochs:600, Train Loss:0.02516,Test Loss:1.36874, Train_MSE:0.02516, Train_RMSE:0.15862, Train_MAE:0.13925,Test_MSE:1.36874, Test_RMSE:1.16993, Test_MAE:0.85689, Time:0:06:26
Epochs:650, Train Loss:0.01260,Test Loss:1.45599, Train_MSE:0.01260, Train_RMSE:0.11227, Train_MAE:0.05851,Test_MSE:1.45599, Test_RMSE:1.20664, Test_MAE:0.88695, Time:0:06:58
Epochs:700, Train Loss:0.02019,Test Loss:1.56379, Train_MSE:0.02019, Train_RMSE:0.14210, Train_MAE:0.10609,Test_MSE:1.56379, Test_RMSE:1.25051, Test_MAE:0.94254, Time:0:07:30
