==> Use accelerator:  cpu
==>当前使用的模型为：CNN_LSTM_T：30_D:7
==>加载数据中...
==>开始训练...
Epochs:0, Train Loss:0.81944,Test Loss:0.89812, Train_MSE:0.81944, Train_RMSE:0.90523, Train_MAE:0.73845,Test_MSE:0.89812, Test_RMSE:0.94769, Test_MAE:0.66832, Time:0:00:02 *
Epochs:50, Train Loss:0.76444,Test Loss:0.99562, Train_MSE:0.76444, Train_RMSE:0.87432, Train_MAE:0.68151,Test_MSE:0.99562, Test_RMSE:0.99781, Test_MAE:0.72023, Time:0:01:20 *
Epochs:100, Train Loss:0.75056,Test Loss:1.38813, Train_MSE:0.75056, Train_RMSE:0.86635, Train_MAE:0.61352,Test_MSE:1.38813, Test_RMSE:1.17819, Test_MAE:0.92293, Time:0:03:12 *
Epochs:150, Train Loss:0.74909,Test Loss:1.39557, Train_MSE:0.74909, Train_RMSE:0.86550, Train_MAE:0.61088,Test_MSE:1.39557, Test_RMSE:1.18134, Test_MAE:0.92627, Time:0:04:28 *
Epochs:200, Train Loss:0.74677,Test Loss:1.36756, Train_MSE:0.74677, Train_RMSE:0.86416, Train_MAE:0.61197,Test_MSE:1.36756, Test_RMSE:1.16943, Test_MAE:0.91295, Time:0:05:39 *
Epochs:250, Train Loss:0.74023,Test Loss:1.42386, Train_MSE:0.74023, Train_RMSE:0.86037, Train_MAE:0.60685,Test_MSE:1.42386, Test_RMSE:1.19326, Test_MAE:0.94079, Time:0:06:49 *
Epochs:300, Train Loss:0.71282,Test Loss:1.57389, Train_MSE:0.71282, Train_RMSE:0.84429, Train_MAE:0.59432,Test_MSE:1.57389, Test_RMSE:1.25455, Test_MAE:1.01761, Time:0:08:00 *
Epochs:350, Train Loss:0.65502,Test Loss:1.79424, Train_MSE:0.65502, Train_RMSE:0.80933, Train_MAE:0.57543,Test_MSE:1.79424, Test_RMSE:1.33949, Test_MAE:1.12283, Time:0:09:11 *
Epochs:400, Train Loss:0.62468,Test Loss:1.59416, Train_MSE:0.62468, Train_RMSE:0.79037, Train_MAE:0.55481,Test_MSE:1.59416, Test_RMSE:1.26260, Test_MAE:1.03234, Time:0:10:22 *
Epochs:450, Train Loss:0.56131,Test Loss:1.50503, Train_MSE:0.56131, Train_RMSE:0.74920, Train_MAE:0.52080,Test_MSE:1.50503, Test_RMSE:1.22680, Test_MAE:0.99002, Time:0:11:33 *
Epochs:500, Train Loss:0.54041,Test Loss:1.34618, Train_MSE:0.54041, Train_RMSE:0.73512, Train_MAE:0.51993,Test_MSE:1.34618, Test_RMSE:1.16025, Test_MAE:0.90987, Time:0:12:50 *
Epochs:550, Train Loss:0.52699,Test Loss:1.69330, Train_MSE:0.52699, Train_RMSE:0.72594, Train_MAE:0.50198,Test_MSE:1.69330, Test_RMSE:1.30127, Test_MAE:1.07438, Time:0:14:10 *
Epochs:600, Train Loss:0.54511,Test Loss:1.40956, Train_MSE:0.54511, Train_RMSE:0.73831, Train_MAE:0.50254,Test_MSE:1.40956, Test_RMSE:1.18725, Test_MAE:0.93848, Time:0:16:14
Epochs:650, Train Loss:0.45656,Test Loss:1.37498, Train_MSE:0.45656, Train_RMSE:0.67569, Train_MAE:0.46716,Test_MSE:1.37498, Test_RMSE:1.17260, Test_MAE:0.92030, Time:0:18:21 *
Epochs:700, Train Loss:0.41269,Test Loss:1.60324, Train_MSE:0.41269, Train_RMSE:0.64241, Train_MAE:0.43618,Test_MSE:1.60324, Test_RMSE:1.26619, Test_MAE:1.02360, Time:0:19:34 *
Epochs:750, Train Loss:0.45255,Test Loss:1.51879, Train_MSE:0.45255, Train_RMSE:0.67272, Train_MAE:0.45923,Test_MSE:1.51879, Test_RMSE:1.23239, Test_MAE:0.98168, Time:0:20:51
Epochs:800, Train Loss:0.37846,Test Loss:1.50633, Train_MSE:0.37846, Train_RMSE:0.61519, Train_MAE:0.42714,Test_MSE:1.50633, Test_RMSE:1.22733, Test_MAE:0.97017, Time:0:22:12 *
Epochs:850, Train Loss:0.47433,Test Loss:1.47713, Train_MSE:0.47433, Train_RMSE:0.68872, Train_MAE:0.45691,Test_MSE:1.47713, Test_RMSE:1.21537, Test_MAE:0.96155, Time:0:23:42
Epochs:900, Train Loss:0.34704,Test Loss:1.53039, Train_MSE:0.34704, Train_RMSE:0.58910, Train_MAE:0.38771,Test_MSE:1.53039, Test_RMSE:1.23709, Test_MAE:0.97383, Time:0:25:05 *
Epochs:950, Train Loss:0.32598,Test Loss:1.57560, Train_MSE:0.32598, Train_RMSE:0.57094, Train_MAE:0.37139,Test_MSE:1.57560, Test_RMSE:1.25523, Test_MAE:0.99219, Time:0:26:43 *
Epochs:1000, Train Loss:0.30448,Test Loss:1.53915, Train_MSE:0.30448, Train_RMSE:0.55180, Train_MAE:0.36006,Test_MSE:1.53915, Test_RMSE:1.24062, Test_MAE:0.97045, Time:0:28:17 *
Epochs:1050, Train Loss:0.30628,Test Loss:1.57542, Train_MSE:0.30628, Train_RMSE:0.55343, Train_MAE:0.36456,Test_MSE:1.57542, Test_RMSE:1.25516, Test_MAE:0.98789, Time:0:29:30
Epochs:1100, Train Loss:0.23278,Test Loss:1.61268, Train_MSE:0.23278, Train_RMSE:0.48247, Train_MAE:0.30679,Test_MSE:1.61268, Test_RMSE:1.26992, Test_MAE:1.00376, Time:0:31:01 *
Epochs:1150, Train Loss:0.21161,Test Loss:1.64615, Train_MSE:0.21161, Train_RMSE:0.46001, Train_MAE:0.28861,Test_MSE:1.64615, Test_RMSE:1.28302, Test_MAE:1.00444, Time:0:32:33 *
Epochs:1200, Train Loss:0.21006,Test Loss:1.60846, Train_MSE:0.21006, Train_RMSE:0.45833, Train_MAE:0.28432,Test_MSE:1.60846, Test_RMSE:1.26825, Test_MAE:0.98400, Time:0:33:57 *
Epochs:1250, Train Loss:0.20443,Test Loss:1.66011, Train_MSE:0.20443, Train_RMSE:0.45213, Train_MAE:0.29830,Test_MSE:1.66011, Test_RMSE:1.28845, Test_MAE:1.00498, Time:0:35:23 *
Epochs:1300, Train Loss:0.18266,Test Loss:1.63193, Train_MSE:0.18266, Train_RMSE:0.42739, Train_MAE:0.27996,Test_MSE:1.63193, Test_RMSE:1.27747, Test_MAE:0.99521, Time:0:36:49 *
Epochs:1350, Train Loss:0.14846,Test Loss:1.76306, Train_MSE:0.14846, Train_RMSE:0.38531, Train_MAE:0.24183,Test_MSE:1.76306, Test_RMSE:1.32780, Test_MAE:1.04382, Time:0:38:10 *
Epochs:1400, Train Loss:0.14836,Test Loss:1.76151, Train_MSE:0.14836, Train_RMSE:0.38518, Train_MAE:0.24132,Test_MSE:1.76151, Test_RMSE:1.32722, Test_MAE:1.04336, Time:0:40:10 *
Epochs:1450, Train Loss:0.11516,Test Loss:1.84372, Train_MSE:0.11516, Train_RMSE:0.33936, Train_MAE:0.21610,Test_MSE:1.84372, Test_RMSE:1.35784, Test_MAE:1.07655, Time:0:42:53 *
Epochs:1500, Train Loss:0.12146,Test Loss:1.81739, Train_MSE:0.12146, Train_RMSE:0.34851, Train_MAE:0.22868,Test_MSE:1.81738, Test_RMSE:1.34810, Test_MAE:1.06012, Time:0:45:01
Epochs:1550, Train Loss:0.09363,Test Loss:1.69652, Train_MSE:0.09363, Train_RMSE:0.30599, Train_MAE:0.21216,Test_MSE:1.69652, Test_RMSE:1.30251, Test_MAE:1.01309, Time:0:46:23 *
Epochs:1600, Train Loss:0.06739,Test Loss:1.73582, Train_MSE:0.06739, Train_RMSE:0.25960, Train_MAE:0.17558,Test_MSE:1.73582, Test_RMSE:1.31750, Test_MAE:1.02209, Time:0:48:15 *
Epochs:1650, Train Loss:0.05566,Test Loss:1.72389, Train_MSE:0.05566, Train_RMSE:0.23593, Train_MAE:0.16701,Test_MSE:1.72389, Test_RMSE:1.31297, Test_MAE:1.02090, Time:0:49:34 *
