==> Use accelerator:  cpu
==>当前使用的模型为：GRU
==>加载数据中...
==>开始训练...
Epochs:0, Train Loss:0.86817,Test Loss:1.06863, Train_MSE:0.86817, Train_RMSE:0.93176, Train_MAE:0.69649,Test_MSE:1.06863, Test_RMSE:1.03375, Test_MAE:0.73331, Time:0:00:00 *
Epochs:50, Train Loss:0.64868,Test Loss:1.03740, Train_MSE:0.64868, Train_RMSE:0.80541, Train_MAE:0.64487,Test_MSE:1.03740, Test_RMSE:1.01853, Test_MAE:0.71824, Time:0:00:03 *
Epochs:100, Train Loss:0.55545,Test Loss:1.05020, Train_MSE:0.55545, Train_RMSE:0.74528, Train_MAE:0.63994,Test_MSE:1.05020, Test_RMSE:1.02479, Test_MAE:0.72263, Time:0:00:05 *
Epochs:150, Train Loss:0.52039,Test Loss:1.04755, Train_MSE:0.52039, Train_RMSE:0.72138, Train_MAE:0.62510,Test_MSE:1.04755, Test_RMSE:1.02350, Test_MAE:0.71995, Time:0:00:07 *
Epochs:200, Train Loss:0.49743,Test Loss:1.08360, Train_MSE:0.49743, Train_RMSE:0.70529, Train_MAE:0.58836,Test_MSE:1.08360, Test_RMSE:1.04096, Test_MAE:0.73765, Time:0:00:10 *
Epochs:250, Train Loss:0.37651,Test Loss:1.12028, Train_MSE:0.37651, Train_RMSE:0.61360, Train_MAE:0.46295,Test_MSE:1.12028, Test_RMSE:1.05843, Test_MAE:0.75886, Time:0:00:12 *
Epochs:300, Train Loss:0.36973,Test Loss:1.19612, Train_MSE:0.36973, Train_RMSE:0.60805, Train_MAE:0.50515,Test_MSE:1.19612, Test_RMSE:1.09367, Test_MAE:0.79734, Time:0:00:15 *
Epochs:350, Train Loss:0.54711,Test Loss:1.35126, Train_MSE:0.54711, Train_RMSE:0.73967, Train_MAE:0.44558,Test_MSE:1.35126, Test_RMSE:1.16244, Test_MAE:0.86411, Time:0:00:18
Epochs:400, Train Loss:0.03881,Test Loss:1.45132, Train_MSE:0.03881, Train_RMSE:0.19701, Train_MAE:0.14341,Test_MSE:1.45132, Test_RMSE:1.20471, Test_MAE:0.91933, Time:0:00:20 *
Epochs:450, Train Loss:0.53866,Test Loss:1.13314, Train_MSE:0.53866, Train_RMSE:0.73393, Train_MAE:0.57917,Test_MSE:1.13314, Test_RMSE:1.06449, Test_MAE:0.77500, Time:0:00:23
Epochs:500, Train Loss:0.39169,Test Loss:1.37731, Train_MSE:0.39169, Train_RMSE:0.62585, Train_MAE:0.45659,Test_MSE:1.37731, Test_RMSE:1.17359, Test_MAE:0.88953, Time:0:00:26
Epochs:550, Train Loss:0.04704,Test Loss:1.30155, Train_MSE:0.04704, Train_RMSE:0.21688, Train_MAE:0.18807,Test_MSE:1.30155, Test_RMSE:1.14085, Test_MAE:0.84718, Time:0:00:28
Epochs:600, Train Loss:0.01892,Test Loss:1.34851, Train_MSE:0.01892, Train_RMSE:0.13756, Train_MAE:0.12179,Test_MSE:1.34851, Test_RMSE:1.16126, Test_MAE:0.86060, Time:0:00:31 *
Epochs:650, Train Loss:0.01675,Test Loss:1.37424, Train_MSE:0.01675, Train_RMSE:0.12942, Train_MAE:0.10876,Test_MSE:1.37424, Test_RMSE:1.17228, Test_MAE:0.85784, Time:0:00:34 *
Epochs:700, Train Loss:0.01781,Test Loss:1.36809, Train_MSE:0.01781, Train_RMSE:0.13345, Train_MAE:0.11979,Test_MSE:1.36809, Test_RMSE:1.16966, Test_MAE:0.86928, Time:0:00:37
Epochs:750, Train Loss:0.06335,Test Loss:1.33055, Train_MSE:0.06335, Train_RMSE:0.25170, Train_MAE:0.16771,Test_MSE:1.33055, Test_RMSE:1.15349, Test_MAE:0.83058, Time:0:00:40
Epochs:800, Train Loss:0.01330,Test Loss:1.36925, Train_MSE:0.01330, Train_RMSE:0.11531, Train_MAE:0.09950,Test_MSE:1.36925, Test_RMSE:1.17015, Test_MAE:0.85830, Time:0:00:43 *
Epochs:850, Train Loss:0.06441,Test Loss:1.40181, Train_MSE:0.06441, Train_RMSE:0.25380, Train_MAE:0.17384,Test_MSE:1.40181, Test_RMSE:1.18398, Test_MAE:0.88786, Time:0:00:46
Epochs:900, Train Loss:0.01607,Test Loss:1.38030, Train_MSE:0.01607, Train_RMSE:0.12678, Train_MAE:0.08694,Test_MSE:1.38030, Test_RMSE:1.17486, Test_MAE:0.87353, Time:0:00:49
Epochs:950, Train Loss:0.03034,Test Loss:1.45794, Train_MSE:0.03034, Train_RMSE:0.17419, Train_MAE:0.11650,Test_MSE:1.45794, Test_RMSE:1.20745, Test_MAE:0.90085, Time:0:00:52
Epochs:1000, Train Loss:0.00622,Test Loss:1.50749, Train_MSE:0.00622, Train_RMSE:0.07886, Train_MAE:0.05987,Test_MSE:1.50749, Test_RMSE:1.22780, Test_MAE:0.92832, Time:0:00:55 *
Epochs:1050, Train Loss:0.01281,Test Loss:1.67175, Train_MSE:0.01281, Train_RMSE:0.11317, Train_MAE:0.09757,Test_MSE:1.67176, Test_RMSE:1.29296, Test_MAE:0.99104, Time:0:00:58
Epochs:1100, Train Loss:0.00836,Test Loss:1.60172, Train_MSE:0.00836, Train_RMSE:0.09144, Train_MAE:0.08200,Test_MSE:1.60172, Test_RMSE:1.26559, Test_MAE:0.94782, Time:0:01:01
Epochs:1150, Train Loss:0.01368,Test Loss:1.59089, Train_MSE:0.01368, Train_RMSE:0.11696, Train_MAE:0.09319,Test_MSE:1.59089, Test_RMSE:1.26131, Test_MAE:0.94441, Time:0:01:04
Epochs:1200, Train Loss:0.00538,Test Loss:1.72371, Train_MSE:0.00538, Train_RMSE:0.07335, Train_MAE:0.06200,Test_MSE:1.72371, Test_RMSE:1.31290, Test_MAE:1.00043, Time:0:01:07 *
Epochs:1250, Train Loss:0.00325,Test Loss:1.57922, Train_MSE:0.00325, Train_RMSE:0.05705, Train_MAE:0.04594,Test_MSE:1.57922, Test_RMSE:1.25667, Test_MAE:0.94790, Time:0:01:10 *
Epochs:1300, Train Loss:0.02726,Test Loss:1.75537, Train_MSE:0.02726, Train_RMSE:0.16511, Train_MAE:0.12381,Test_MSE:1.75537, Test_RMSE:1.32490, Test_MAE:0.97705, Time:0:01:13
