==>当前使用的模型为：Seq2Seq
==>加载数据中...
==>开始训练...
Epochs:0, Loss:1.19857, MSE:1.19857, RMSE:1.09479, MAE:0.78761, Time:0:00:01 *
Epochs:10, Loss:0.95827, MSE:0.95827, RMSE:0.97891, MAE:0.71602, Time:0:00:04 *
Epochs:20, Loss:0.63431, MSE:0.63431, RMSE:0.79643, MAE:0.57581, Time:0:00:07 *
Epochs:30, Loss:0.53812, MSE:0.53812, RMSE:0.73356, MAE:0.51989, Time:0:00:09 *
Epochs:40, Loss:0.50287, MSE:0.50287, RMSE:0.70913, MAE:0.49646, Time:0:00:12 *
Epochs:50, Loss:0.47050, MSE:0.47050, RMSE:0.68593, MAE:0.48083, Time:0:00:15 *
Epochs:60, Loss:0.42989, MSE:0.42989, RMSE:0.65566, MAE:0.46642, Time:0:00:18 *
Epochs:70, Loss:0.42292, MSE:0.42292, RMSE:0.65033, MAE:0.45852, Time:0:00:21 *
Epochs:80, Loss:0.36986, MSE:0.36986, RMSE:0.60816, MAE:0.42986, Time:0:00:24 *
Epochs:90, Loss:0.36166, MSE:0.36166, RMSE:0.60138, MAE:0.42443, Time:0:00:27 *
Epochs:100, Loss:0.33468, MSE:0.33468, RMSE:0.57851, MAE:0.40504, Time:0:00:30 *
Epochs:110, Loss:0.34989, MSE:0.34989, RMSE:0.59152, MAE:0.42745, Time:0:00:33
Epochs:120, Loss:0.32099, MSE:0.32099, RMSE:0.56656, MAE:0.40074, Time:0:00:36 *
Epochs:130, Loss:0.29299, MSE:0.29299, RMSE:0.54129, MAE:0.38545, Time:0:00:39 *
Epochs:140, Loss:0.29962, MSE:0.29962, RMSE:0.54738, MAE:0.38595, Time:0:00:42
Epochs:150, Loss:0.27219, MSE:0.27219, RMSE:0.52172, MAE:0.37305, Time:0:00:45 *
Epochs:160, Loss:0.28164, MSE:0.28164, RMSE:0.53070, MAE:0.38254, Time:0:00:48
Epochs:170, Loss:0.26068, MSE:0.26068, RMSE:0.51057, MAE:0.35715, Time:0:00:51 *
Epochs:180, Loss:0.26007, MSE:0.26007, RMSE:0.50997, MAE:0.35967, Time:0:00:54 *
Epochs:190, Loss:0.25258, MSE:0.25258, RMSE:0.50258, MAE:0.35194, Time:0:00:57 *
Epochs:200, Loss:0.24747, MSE:0.24747, RMSE:0.49747, MAE:0.34531, Time:0:01:00 *
Epochs:210, Loss:0.24912, MSE:0.24912, RMSE:0.49912, MAE:0.34602, Time:0:01:03
Epochs:220, Loss:0.26326, MSE:0.26326, RMSE:0.51309, MAE:0.36472, Time:0:01:06
Epochs:230, Loss:0.22869, MSE:0.22869, RMSE:0.47822, MAE:0.33120, Time:0:01:09 *
Epochs:240, Loss:0.25340, MSE:0.25340, RMSE:0.50339, MAE:0.36063, Time:0:01:12
Epochs:250, Loss:0.23362, MSE:0.23362, RMSE:0.48335, MAE:0.33975, Time:0:01:15
Epochs:260, Loss:0.24425, MSE:0.24425, RMSE:0.49421, MAE:0.34391, Time:0:01:17
Epochs:270, Loss:0.22076, MSE:0.22076, RMSE:0.46985, MAE:0.33146, Time:0:01:20 *
Epochs:280, Loss:0.25542, MSE:0.25542, RMSE:0.50539, MAE:0.35333, Time:0:01:23
Epochs:290, Loss:0.21421, MSE:0.21421, RMSE:0.46283, MAE:0.32481, Time:0:01:26 *
Epochs:300, Loss:0.43821, MSE:0.43821, RMSE:0.66197, MAE:0.45028, Time:0:01:29
Epochs:310, Loss:0.23044, MSE:0.23045, RMSE:0.48005, MAE:0.33507, Time:0:01:31
Epochs:320, Loss:0.27687, MSE:0.27687, RMSE:0.52619, MAE:0.35137, Time:0:01:34
Epochs:330, Loss:0.33379, MSE:0.33379, RMSE:0.57775, MAE:0.38998, Time:0:01:37
Epochs:340, Loss:0.23159, MSE:0.23159, RMSE:0.48124, MAE:0.34257, Time:0:01:40
Epochs:350, Loss:0.26752, MSE:0.26752, RMSE:0.51723, MAE:0.35269, Time:0:01:42
Epochs:360, Loss:0.21750, MSE:0.21750, RMSE:0.46637, MAE:0.30955, Time:0:01:45
Epochs:370, Loss:0.22530, MSE:0.22530, RMSE:0.47465, MAE:0.33048, Time:0:01:48
Epochs:380, Loss:0.19593, MSE:0.19593, RMSE:0.44264, MAE:0.29642, Time:0:01:51 *
Epochs:390, Loss:0.18209, MSE:0.18209, RMSE:0.42672, MAE:0.29587, Time:0:01:54 *
Epochs:400, Loss:0.19995, MSE:0.19995, RMSE:0.44716, MAE:0.31879, Time:0:01:56
Epochs:410, Loss:0.24634, MSE:0.24634, RMSE:0.49633, MAE:0.33299, Time:0:01:59
Epochs:420, Loss:0.18308, MSE:0.18308, RMSE:0.42787, MAE:0.28916, Time:0:02:02
Epochs:430, Loss:0.23609, MSE:0.23609, RMSE:0.48589, MAE:0.33340, Time:0:02:05
Epochs:440, Loss:0.16764, MSE:0.16764, RMSE:0.40943, MAE:0.29799, Time:0:02:07 *
Epochs:450, Loss:0.17284, MSE:0.17284, RMSE:0.41574, MAE:0.28317, Time:0:02:10
Epochs:460, Loss:0.14818, MSE:0.14818, RMSE:0.38494, MAE:0.26931, Time:0:02:13 *
Epochs:470, Loss:0.20317, MSE:0.20317, RMSE:0.45074, MAE:0.30619, Time:0:02:16
Epochs:480, Loss:0.13921, MSE:0.13921, RMSE:0.37311, MAE:0.26664, Time:0:02:19 *
Epochs:490, Loss:0.18751, MSE:0.18751, RMSE:0.43303, MAE:0.29810, Time:0:02:22
Epochs:500, Loss:0.17031, MSE:0.17031, RMSE:0.41269, MAE:0.29094, Time:0:02:25
Epochs:510, Loss:0.19012, MSE:0.19012, RMSE:0.43603, MAE:0.29062, Time:0:02:28
Epochs:520, Loss:0.19270, MSE:0.19270, RMSE:0.43898, MAE:0.31035, Time:0:02:31
